regname,zno_year,histteststatus,avgball
Івано-Франківська область,2019,Зараховано,135.02527025129862
Івано-Франківська область,2020,Зараховано,136.67460983386474
Волинська область,2019,Зараховано,136.1499013806706
Волинська область,2020,Зараховано,135.28752515090542
Вінницька область,2019,Зараховано,134.4660043093129
Вінницька область,2020,Зараховано,133.5556752873563
Дніпропетровська область,2019,Зараховано,134.26583954833762
Дніпропетровська область,2020,Зараховано,131.92815226011103
Донецька область,2019,Зараховано,135.47051316496507
Донецька область,2020,Зараховано,131.56607400288323
Житомирська область,2019,Зараховано,134.19155437167032
Житомирська область,2020,Зараховано,132.63088477743176
Закарпатська область,2019,Зараховано,127.70581133290406
Закарпатська область,2020,Зараховано,129.91932013769363
Запорізька область,2019,Зараховано,133.23943905817174
Запорізька область,2020,Зараховано,130.9957777777778
Київська область,2019,Зараховано,136.6020141250327
Київська область,2020,Зараховано,133.78113180098924
Кіровоградська область,2019,Зараховано,135.65520882214923
Кіровоградська область,2020,Зараховано,132.492413398225
Луганська область,2019,Зараховано,134.04959746981024
Луганська область,2020,Зараховано,132.05077096652877
Львівська область,2019,Зараховано,139.96986321960017
Львівська область,2020,Зараховано,141.27651144154572
Миколаївська область,2019,Зараховано,131.9119197243057
Миколаївська область,2020,Зараховано,130.3373423633816
Одеська область,2019,Зараховано,133.01464435146443
Одеська область,2020,Зараховано,131.2200047376525
Полтавська область,2019,Зараховано,135.865433769358
Полтавська область,2020,Зараховано,133.1554507527662
Рівненська область,2019,Зараховано,133.2726971942827
Рівненська область,2020,Зараховано,135.56704438149197
Сумська область,2019,Зараховано,135.93597312703582
Сумська область,2020,Зараховано,134.7534175909208
Тернопільська область,2019,Зараховано,136.2924379053947
Тернопільська область,2020,Зараховано,137.9610456705931
Харківська область,2019,Зараховано,138.54213509683515
Харківська область,2020,Зараховано,135.19580970384374
Херсонська область,2019,Зараховано,132.2094543387647
Херсонська область,2020,Зараховано,131.7137818090199
Хмельницька область,2019,Зараховано,136.5789821061895
Хмельницька область,2020,Зараховано,135.6108715184187
Черкаська область,2019,Зараховано,137.6746349269854
Черкаська область,2020,Зараховано,133.82714495489827
Чернівецька область,2019,Зараховано,131.09225395520855
Чернівецька область,2020,Зараховано,133.4536685179772
Чернігівська область,2019,Зараховано,136.54666535122337
Чернігівська область,2020,Зараховано,134.79443511633485
м.Київ,2019,Зараховано,140.67581439912402
м.Київ,2020,Зараховано,138.20442238267148
